,Season,ChampionshipPosition
0,2005,7.0
1,2006,7.0
2,2007,5.0
3,2008,7.0
4,2009,2.0
5,2010,1.0
6,2011,1.0
7,2012,1.0
8,2013,1.0
9,2014,2.0
10,2015,4.0
11,2016,2.0
12,2017,3.0
13,2018,3.0
14,2019,3.0
15,2020,2.0
16,2021,2.0
17,2022,1.0
18,2023,1.0
19,2024,3.0
