,Season,ChampionshipPosition
0,2010,4.0
1,2011,4.0
2,2012,5.0
3,2013,2.0
4,2014,1.0
5,2015,1.0
6,2016,1.0
7,2017,1.0
8,2018,1.0
9,2019,1.0
10,2020,1.0
11,2021,1.0
12,2022,3.0
13,2023,2.0
14,2024,4.0
