Country,RacesWon
United Kingdom,316
Germany,174
Brazil,101
France,78
Netherlands,63
Finland,57
Australia,45
Italy,41
Austria,41
Spain,36
Argentina,36
United States of America,33
Canada,17
Sweden,12
New Zealand,12
Belgium,11
South Africa,10
Monaco,8
Mexico,8
Switzerland,7
Colombia,7
Venezuela,1
Poland,1
