Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
2008,18,2008-11-02,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2008,Race,71,305.909,4.309
2009,1,2009-03-29,Australia,Melbourne,2009 Formula 1 ING Australian Grand Prix,Street,58,307.574,5.303
2009,2,2009-04-05,Malaysia,Sepang,2009 Formula 1 Petronas Malaysian Grand Prix,Race,31,171.833,5.543
2009,3,2009-04-19,China,Shanghai,2009 Formula 1 Chinese Grand Prix,Race,56,305.066,5.451
2009,4,2009-04-26,Bahrain,Bahrain,2009 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2009,5,2009-05-10,Spain,Catalunya,Formula 1 Gran Premio de Espana Telefonica 2009,Race,66,307.104,4.655
2009,6,2009-05-24,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2009,Street,78,260.52,3.34
2009,7,2009-06-07,Turkey,Istanbul,2009 Formula 1 ING Turkish Grand Prix,Race,58,309.396,5.338
2009,8,2009-06-21,Great Britain,Silverstone,2009 Formula 1 Santander British Grand Prix,Race,60,308.355,5.141
2009,9,2009-07-12,Germany,Nurburgring,Formula 1 Grosser Preis Santander von Deutschland 2009,Race,60,308.863,5.148
2009,10,2009-07-26,Hungary,Hungaroring,Formula 1 ING Magyar Nagydij 2009,Race,70,306.63,4.381
2009,11,2009-08-23,Europe,Valencia,2009 Formula 1 Telefonica Grand Prix of Europe,Street,57,308.883,5.419
2009,12,2009-08-30,Belgium,Spa-Francorchamps,2009 Formula 1 ING Belgian Grand Prix,Race,44,308.052,7.004
2009,13,2009-09-13,Italy,Monza,Formula 1 Gran Premio Santander d'Italia 2009,Race,53,306.72,5.793
2009,14,2009-09-27,Singapore,Marina Bay,2009 Formula 1 SingTel Singapore Grand Prix,Street,61,309.316,5.073
2009,15,2009-10-04,Japan,Suzuka,2009 Formula 1 Fuji Television Japanese Grand Prix,Race,53,307.573,5.807
2009,16,2009-10-18,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2009,Race,71,305.909,4.309
2009,17,2009-11-01,Abu Dhabi,Yas Marina,2009 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2010,1,2010-03-14,Bahrain,Bahrain,2010 Formula 1 Gulf Air Bahrain Grand Prix,Race,49,308.405,6.299
2010,2,2010-03-28,Australia,Melbourne,2010 Formula 1 Qantas Australian Grand Prix,Street,58,307.574,5.303
2010,3,2010-04-04,Malaysia,Sepang,2010 Formula 1 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2010,4,2010-04-18,China,Shanghai,2010 Formula 1 Chinese Grand Prix,Race,56,305.066,5.451
2010,5,2010-05-09,Spain,Catalunya,Formula 1 Gran Premio de Espana Telefonica 2010,Race,66,307.104,4.655
2010,6,2010-05-16,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2010,Street,78,260.52,3.34
2010,7,2010-05-30,Turkey,Istanbul,2010 Formula 1 Turkish Grand Prix,Race,58,309.396,5.338
2010,8,2010-06-13,Canada,Montreal,Formula 1 Grand Prix du Canada 2010,Street,70,305.27,4.361
2010,9,2010-06-27,Europe,Valencia,2010 Formula 1 Telefonica Grand Prix of Europe,Street,57,308.883,5.419
2010,10,2010-07-11,Great Britain,Silverstone,2010 Formula 1 Santander British Grand Prix,Race,52,306.747,5.901
2010,11,2010-07-25,Germany,Hockenheimring,Formula 1 Grosser Preis Santander von Deutschland 2010,Race,67,306.458,4.574
2010,12,2010-08-01,Hungary,Hungaroring,Formula 1 Eni Magyar Nagydij 2010,Race,70,306.63,4.381
2010,13,2010-08-29,Belgium,Spa-Francorchamps,2010 Formula 1 Belgian Grand Prix,Race,44,308.052,7.004
2010,14,2010-09-12,Italy,Monza,Formula 1 Gran Premio Santander d'Italia 2010,Race,53,306.72,5.793
2010,15,2010-09-26,Singapore,Marina Bay,2010 Formula 1 SingTel Singapore Grand Prix,Street,61,309.316,5.073
2010,16,2010-10-10,Japan,Suzuka,2010 Formula 1 Japanese Grand Prix,Race,53,307.573,5.807
2010,17,2010-10-24,Korea,Yeongam,2010 Formula 1 Korean Grand Prix,Race,55,308.63,5.615
2010,18,2010-11-07,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2010,Race,71,305.909,4.309
2010,19,2010-11-14,Abu Dhabi,Yas Marina,2010 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2011,1,2011-03-27,Australia,Melbourne,2011 Formula 1 Qantas Australian Grand Prix,Street,58,307.574,5.303
2011,2,2011-04-10,Malaysia,Sepang,2011 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2011,3,2011-04-17,China,Shanghai,2011 Formula 1 UBS Chinese Grand Prix,Race,56,305.066,5.451
2011,4,2011-05-08,Turkey,Istanbul,2011 Formula 1 DHL Turkish Grand Prix,Race,58,309.396,5.338
2011,5,2011-05-22,Spain,Catalunya,Formula 1 Gran Premio de Espana Santander 2011,Race,66,307.104,4.655
2011,6,2011-05-29,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2011,Street,78,260.52,3.34
2011,7,2011-06-12,Canada,Montreal,Formula 1 Grand Prix du Canada 2011,Street,70,305.27,4.361
2011,8,2011-06-26,Europe,Valencia,2011 Formula 1 Grand Prix of Europe,Street,57,308.883,5.419
2011,9,2011-07-10,Great Britain,Silverstone,2011 Formula 1 Santander British Grand Prix,Race,52,306.198,5.891
2011,10,2011-07-24,Germany,Nurburgring,Formula 1 Grosser Preis Santander von Deutschland 2011,Race,60,308.863,5.148
2011,11,2011-07-31,Hungary,Hungaroring,Formula 1 Eni Magyar Nagydij 2011,Race,70,306.63,4.381
2011,12,2011-08-28,Belgium,Spa-Francorchamps,2011 Formula 1 Shell Belgian Grand Prix,Race,44,308.052,7.004
2011,13,2011-09-11,Italy,Monza,Formula 1 Gran Premio Santander d'Italia 2011,Race,53,306.72,5.793
2011,14,2011-09-25,Singapore,Marina Bay,2011 Formula 1 SingTel Singapore Grand Prix,Street,61,309.087,5.073
2011,15,2011-10-09,Japan,Suzuka,2011 Formula 1 Japanese Grand Prix,Race,53,307.471,5.807
2011,16,2011-10-16,Korea,Yeongam,2011 Formula 1 Korean Grand Prix,Race,55,308.63,5.615
2011,17,2011-10-30,India,Buddh,2011 Formula 1 Airtel Grand Prix of India,Race,60,307.249,5.125
2011,18,2011-11-13,Abu Dhabi,Yas Marina,2011 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2011,19,2011-11-27,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2011,Race,71,305.909,4.309
2012,1,2012-03-18,Australia,Melbourne,2012 Formula 1 Qantas Australian Grand Prix,Street,58,307.574,5.303
2012,2,2012-03-25,Malaysia,Sepang,2012 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2012,3,2012-04-15,China,Shanghai,2012 Formula 1 UBS Chinese Grand Prix,Race,56,305.066,5.451
2012,4,2012-04-22,Bahrain,Bahrain,2012 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2012,5,2012-05-13,Spain,Catalunya,Formula 1 Gran Premio de Espana Santander 2012,Race,66,307.104,4.655
2012,6,2012-05-27,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2012,Street,78,260.52,3.34
2012,7,2012-06-10,Canada,Montreal,Formula 1 Grand Prix du Canada 2012,Street,70,305.27,4.361
2012,8,2012-06-24,Europe,Valencia,2012 Formula 1 Grand Prix of Europe,Street,57,308.883,5.419
2012,9,2012-07-08,Great Britain,Silverstone,2012 Formula 1 Santander British Grand Prix,Race,52,306.198,5.891
2012,10,2012-07-22,Germany,Hockenheimring,Formula 1 Grosser Preis Santander von Deutschland 2012,Race,67,306.458,4.574
2012,11,2012-07-29,Hungary,Hungaroring,Formula 1 Eni Magyar Nagydij 2012,Race,69,302.249,4.381
2012,12,2012-09-02,Belgium,Spa-Francorchamps,2012 Formula 1 Shell Belgian Grand Prix,Race,44,308.052,7.004
2012,13,2012-09-09,Italy,Monza,Formula 1 Gran Premio Santander d'Italia 2012,Race,53,306.72,5.793
2012,14,2012-09-23,Singapore,Marina Bay,2012 Formula 1 SingTel Singapore Grand Prix,Street,59,299.17,5.073
2012,15,2012-10-07,Japan,Suzuka,2012 Formula 1 Japanese Grand Prix,Race,53,307.471,5.807
2012,16,2012-10-14,Korea,Yeongam,2012 Formula 1 Korean Grand Prix,Race,55,308.63,5.615
2012,17,2012-10-28,India,Buddh,2012 Formula 1 Airtel Indian Grand Prix,Race,60,307.249,5.125
2012,18,2012-11-04,Abu Dhabi,Yas Marina,2012 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2012,19,2012-11-18,United States,Austin,2012 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2012,20,2012-11-25,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2012,Race,71,305.909,4.309
2013,1,2013-03-17,Australia,Melbourne,2013 Formula 1 Rolex Australian Grand Prix,Street,58,307.574,5.303
2013,2,2013-03-24,Malaysia,Sepang,2013 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2013,3,2013-04-14,China,Shanghai,2013 Formula 1 UBS Chinese Grand Prix,Race,56,305.066,5.451
2013,4,2013-04-21,Bahrain,Bahrain,2013 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2013,5,2013-05-12,Spain,Catalunya,Formula 1 Gran Premio de Espana 2013,Race,66,307.104,4.655
2013,6,2013-05-26,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2013,Street,78,260.52,3.34
2013,7,2013-06-09,Canada,Montreal,Formula 1 Grand Prix du Canada 2013,Street,70,305.27,4.361
2013,8,2013-06-30,Great Britain,Silverstone,2013 Formula 1 Santander British Grand Prix,Race,52,306.198,5.891
2013,9,2013-07-07,Germany,Nurburgring,Formula 1 Grosser Preis Santander von Deutschland 2013,Race,60,308.863,5.148
2013,10,2013-07-28,Hungary,Hungaroring,Formula 1 Magyar Nagydij 2013,Race,70,306.63,4.381
2013,11,2013-08-25,Belgium,Spa-Francorchamps,2013 Formula 1 Shell Belgian Grand Prix,Race,44,308.052,7.004
2013,12,2013-09-08,Italy,Monza,Formula 1 Gran Premio d'Italia 2013,Race,53,306.72,5.793
2013,13,2013-09-22,Singapore,Marina Bay,2013 Formula 1 SingTel Singapore Grand Prix,Street,61,308.828,5.065
2013,14,2013-10-06,Korea,Yeongam,2013 Formula 1 Korean Grand Prix,Race,55,308.63,5.615
2013,15,2013-10-13,Japan,Suzuka,2013 Formula 1 Japanese Grand Prix,Race,53,307.471,5.807
2013,16,2013-10-27,India,Buddh,2013 Formula 1 Airtel Indian Grand Prix,Race,60,307.249,5.125
2013,17,2013-11-03,Abu Dhabi,Yas Marina,2013 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2013,18,2013-11-17,United States,Austin,2013 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2013,19,2013-11-24,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2013,Race,71,305.909,4.309
2014,1,2014-03-16,Australia,Melbourne,2014 Formula 1 Rolex Australian Grand Prix,Street,57,302.271,5.303
2014,2,2014-03-30,Malaysia,Sepang,2014 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2014,3,2014-04-06,Bahrain,Bahrain,2014 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2014,4,2014-04-20,China,Shanghai,2014 Formula 1 UBS Chinese Grand Prix,Race,54,294.164,5.451
2014,5,2014-05-11,Spain,Catalunya,Formula 1 Gran Premio de Espana Pirelli 2014,Race,66,307.104,4.655
2014,6,2014-05-25,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2014,Street,78,260.52,3.34
2014,7,2014-06-08,Canada,Montreal,Formula 1 Grand Prix du Canada 2014,Street,70,305.27,4.361
2014,8,2014-06-22,Austria,Spielberg,Formula 1 DHL Grosser Preis Von Osterreich 2014,Race,71,307.146,4.326
2014,9,2014-07-06,Great Britain,Silverstone,2014 Formula 1 Santander British Grand Prix,Race,52,306.198,5.891
2014,10,2014-07-20,Germany,Hockenheimring,Formula 1 Grosser Preis Santander von Deutschland 2014,Race,67,306.458,4.574
2014,11,2014-07-27,Hungary,Hungaroring,Formula 1 Pirelli Magyar Nagydij 2014,Race,70,306.63,4.381
2014,12,2014-08-24,Belgium,Spa-Francorchamps,2014 Formula 1 Shell Belgian Grand Prix,Race,44,308.052,7.004
2014,13,2014-09-07,Italy,Monza,Formula 1 Gran Premio d'Italia 2014,Race,53,306.72,5.793
2014,14,2014-09-21,Singapore,Marina Bay,2014 Formula 1 Singapore Airlines Singapore Grand Prix,Street,60,303.763,5.065
2014,15,2014-10-05,Japan,Suzuka,2014 Formula 1 Japanese Grand Prix,Race,44,255.208,5.807
2014,16,2014-10-21,Russia,Sochi,2014 Formula 1 Russian Grand Prix,Road,53,309.745,5.848
2014,17,2014-11-02,United States,Austin,2014 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2014,18,2014-11-09,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2014,Race,71,305.909,4.309
2014,19,2014-11-23,Abu Dhabi,Yas Marina,2014 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2015,1,2015-03-15,Australia,Melbourne,2015 Formula 1 Rolex Australian Grand Prix,Street,58,307.574,5.303
2015,2,2015-03-29,Malaysia,Sepang,2015 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2015,3,2015-04-12,China,Shanghai,2015 Formula 1 Chinese Grand Prix,Race,56,305.066,5.451
2015,4,2015-04-19,Bahrain,Bahrain,2015 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2015,5,2015-05-10,Spain,Catalunya,Formula 1 Gran Premio de Espana Pirelli 2015,Race,66,307.104,4.655
2015,6,2015-05-24,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2015,Street,78,260.286,3.337
2015,7,2015-06-07,Canada,Montreal,Formula 1 Grand Prix du Canada 2015,Street,70,305.27,4.361
2015,8,2015-06-21,Austria,Spielberg,Formula 1 Rolex Grosser Preis von Osterreich 2015,Race,71,307.146,4.326
2015,9,2015-07-05,Great Britain,Silverstone,2015 Formula 1 British Grand Prix,Race,52,306.198,5.891
2015,10,2015-07-26,Hungary,Hungaroring,Formula 1 Pirelli Magyar Nagydij 2015,Race,69,302.249,4.381
2015,11,2015-08-23,Belgium,Spa-Francorchamps,2015 Formula 1 Shell Belgian Grand Prix,Race,43,301.048,7.004
2015,12,2015-09-06,Italy,Monza,Formula 1 Gran Premio d'Italia 2015,Race,53,306.72,5.793
2015,13,2015-09-20,Singapore,Marina Bay,2015 Formula 1 Singapore Airlines Singapore Grand Prix,Street,61,308.828,5.065
2015,14,2015-09-27,Japan,Suzuka,2015 Formula 1 Japanese Grand Prix,Race,53,307.471,5.807
2015,15,2015-10-11,Russia,Sochi,2015 Formula 1 Russian Grand Prix,Road,53,309.745,5.848
2015,16,2015-10-25,United States,Austin,2015 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2015,17,2015-11-01,Mexico,Mexico City,Formula 1 Gran Premio de Mexico 2015,Race,71,305.354,4.304
2015,18,2015-11-15,Brazil,Interlagos,Formula 1 Grande Premio Petrobras do Brasil 2015,Race,71,305.909,4.309
2015,19,2015-11-29,Abu Dhabi,Yas Marina,2015 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2016,1,2016-03-20,Australia,Melbourne,2016 Formula 1 Rolex Australian Grand Prix,Street,57,302.271,5.303
2016,2,2016-04-03,Bahrain,Bahrain,2016 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2016,3,2016-04-17,China,Shanghai,2016 Formula 1 Pirelli Chinese Grand Prix,Race,56,305.066,5.451
2016,4,2016-05-01,Russia,Sochi,2016 Formula 1 Russian Grand Prix,Road,53,309.745,5.848
2016,5,2016-05-15,Spain,Catalunya,Formula 1 Gran Premio de Espana Pirelli 2016,Race,66,307.104,4.655
2016,6,2016-05-29,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2016,Street,78,260.286,3.337
2016,7,2016-06-12,Canada,Montreal,Formula 1 Grand Prix du Canada 2016,Street,70,305.27,4.361
2016,8,2016-06-19,Europe,Baku,Formula 1 Rolex Grand Prix of Europe 2016,Street,51,306.153,6.003
2016,9,2016-07-03,Austria,Spielberg,Formula 1 Pirelli Grosser Preis von Osterreich 2016,Race,71,307.146,4.326
2016,10,2016-07-10,Great Britain,Silverstone,2016 Formula 1 British Grand Prix,Race,52,306.198,5.891
2016,11,2016-07-24,Hungary,Hungaroring,Formula 1 Magyar Nagydij 2016,Race,70,306.63,4.381
2016,12,2016-07-31,Germany,Hockenheimring,Formula 1 Grosser Preis von Deutschland 2016,Race,67,306.458,4.574
2016,13,2016-08-28,Belgium,Spa-Francorchamps,2016 Formula 1 Belgian Grand Prix,Race,44,308.052,7.004
2016,14,2016-09-04,Italy,Monza,Formula 1 Gran Premio Heineken d'Italia 2016,Race,53,306.72,5.793
2016,15,2016-09-18,Singapore,Marina Bay,2016 Formula 1 Singapore Airlines Singapore Grand Prix,Street,61,308.828,5.065
2016,16,2016-10-02,Malaysia,Sepang,2016 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2016,17,2016-10-09,Japan,Suzuka,2016 Formula 1 Emirates Japanese Grand Prix,Race,53,307.471,5.807
2016,18,2016-10-23,United States,Austin,2016 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2016,19,2016-10-30,Mexico,Mexico City,Formula 1 Gran Premio de Mexico 2016,Race,71,305.354,4.304
2016,20,2016-11-13,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2016,Race,71,305.909,4.309
2016,21,2016-11-27,Abu Dhabi,Yas Marina,2016 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2017,1,2017-03-26,Australia,Melbourne,2017 Formula 1 Rolex Australian Grand Prix,Street,57,302.271,5.303
2017,2,2017-04-09,China,Shanghai,2017 Formula 1 Heineken Chinese Grand Prix,Race,56,305.066,5.451
2017,3,2017-04-16,Bahrain,Bahrain,2017 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2017,4,2017-04-30,Russia,Sochi,2017 Formula 1 VTB Russian Grand Prix,Road,52,303.897,5.848
2017,5,2017-05-14,Spain,Catalunya,Formula 1 Gran Premio de Espana Pirelli 2017,Race,66,307.104,4.655
2017,6,2017-05-28,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2017,Street,78,260.286,3.337
2017,7,2017-06-11,Canada,Montreal,Formula 1 Grand Prix du Canada 2017,Street,70,305.27,4.361
2017,8,2017-06-25,Azerbaijan,Baku,Formula 1 FlyEmirates Azerbaijan Grand Prix 2017,Street,51,306.049,6.003
2017,9,2017-07-09,Austria,Spielberg,Formula 1 FlyEmirates Grosser Preis von Osterreich 2017,Race,71,306.452,4.318
2017,10,2017-07-16,Great Britain,Silverstone,2017 Formula 1 Rolex British Grand Prix,Race,51,300.307,5.891
2017,11,2017-07-30,Hungary,Hungaroring,Formula 1 Pirelli Magyar Nagydij 2017,Race,70,306.63,4.381
2017,12,2017-08-27,Belgium,Spa-Francorchamps,2017 Formula 1 Pirelli Belgian Grand Prix,Race,44,308.052,7.004
2017,13,2017-09-03,Italy,Monza,Formula 1 Gran Premio Heineken d'Italia 2017,Race,53,306.72,5.793
2017,14,2017-09-17,Singapore,Marina Bay,2017 Formula 1 Singapore Airlines Singapore Grand Prix,Street,58,293.633,5.065
2017,15,2017-10-01,Malaysia,Sepang,2017 Formula 1 Petronas Malaysia Grand Prix,Race,56,310.408,5.543
2017,16,2017-10-08,Japan,Suzuka,2017 Formula 1 Japanese Grand Prix,Race,53,307.471,5.807
2017,17,2017-10-22,United States,Austin,2017 Formula 1 United States Grand Prix,Race,56,308.405,5.513
2017,18,2017-10-29,Mexico,Mexico City,Formula 1 Gran Premio de Mexico 2017,Race,71,305.354,4.304
2017,19,2017-11-12,Brazil,Interlagos,Formula 1 Grande Premio Heineken do Brasil 2017,Race,71,305.909,4.309
2017,20,2017-11-26,Abu Dhabi,Yas Marina,2017 Formula 1 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2018,1,2018-03-25,Australia,Melbourne,Formula 1 2018 Rolex Australian Grand Prix,Street,58,307.574,5.303
2018,2,2018-04-08,Bahrain,Bahrain,Formula 1 2018 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2018,3,2018-04-15,China,Shanghai,Formula 1 2018 Heineken Chinese Grand Prix,Race,56,305.066,5.451
2018,4,2018-04-29,Azerbaijan,Baku,Formula 1 2018 Rolex Azerbaijan Grand Prix,Street,51,306.049,6.003
2018,5,2018-05-13,Spain,Catalunya,Formula 1 Gran Premio de Espana Emirates 2018,Race,66,307.104,4.655
2018,6,2018-05-27,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2018,Street,78,260.286,3.337
2018,7,2018-06-10,Canada,Montreal,Formula 1 Grand Prix Heineken du Canada 2018,Street,68,296.548,4.361
2018,8,2018-06-24,France,Paul Ricard,Formula 1 Pirelli Grand Prix de France 2018,Race,53,309.69,5.842
2018,9,2018-07-01,Austria,Spielberg,Formula 1 Eyetime Grosser Preis von Osterreich 2018,Race,71,306.452,4.318
2018,10,2018-07-08,Great Britain,Silverstone,Formula 1 2018 Rolex British Grand Prix,Race,52,306.198,5.891
2018,11,2018-07-22,Germany,Hockenheimring,Formula 1 Emirates Grosser Preis von Deutschland 2018,Race,67,306.458,4.574
2018,12,2018-07-29,Hungary,Hungaroring,Formula 1 Rolex Magyar Nagydij 2018,Race,70,306.63,4.381
2018,13,2018-08-26,Belgium,Spa-Francorchamps,Formula 1 2018 Johnnie Walker Belgian Grand Prix,Race,44,308.052,7.004
2018,14,2018-09-02,Italy,Monza,Formula 1 Gran Premio Heineken d'Italia 2018,Race,53,306.72,5.793
2018,15,2018-09-16,Singapore,Marina Bay,Formula 1 2018 Singapore Airlines Singapore Grand Prix,Street,61,308.706,5.063
2018,16,2018-09-30,Russia,Sochi,Formula 1 2018 VTB Russian Grand Prix,Road,53,309.745,5.848
2018,17,2018-10-07,Japan,Suzuka,Formula 1 2018 Honda Japanese Grand Prix,Race,53,307.471,5.807
2018,18,2018-10-21,United States,Austin,Formula 1 Pirelli 2018 United States Grand Prix,Race,56,308.405,5.513
2018,19,2018-10-28,Mexico,Mexico City,Formula 1 Gran Premio de Mexico 2018,Race,71,305.354,4.304
2018,20,2018-11-11,Brazil,Interlagos,Formula 1 Grande Premio Heineken do Brasil 2018,Race,71,305.909,4.309
2018,21,2018-11-25,Abu Dhabi,Yas Marina,Formula 1 2018 Etihad Airways Abu Dhabi Grand Prix,Race,55,305.355,5.554
2019,1,2019-03-17,Australia,Melbourne,Formula 1 Rolex Australian Grand Prix 2019,Street,58,307.574,5.303
2019,2,2019-03-31,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2019,Race,57,308.238,5.412
2019,3,2019-04-14,China,Shanghai,Formula 1 Heineken Chinese Grand Prix 2019,Race,56,305.066,5.451
2019,4,2019-04-28,Azerbaijan,Baku,Formula 1 SOCAR Azerbaijan Grand Prix 2019,Street,51,306.049,6.003
2019,5,2019-05-12,Spain,Catalunya,Formula 1 Emirates Gran Premio de Espana 2019,Race,66,307.104,4.655
2019,6,2019-05-26,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2019,Street,78,260.286,3.337
2019,7,2019-06-09,Canada,Montreal,Formula 1 Pirelli Grand Prix du Canada 2019,Street,70,305.27,4.361
2019,8,2019-06-23,France,Paul Ricard,Formula 1 Pirelli Grand Prix de France 2019,Race,53,309.69,5.842
2019,9,2019-06-30,Austria,Spielberg,Formula 1 myWorld Grosser Preis von Osterreich 2019,Race,71,306.452,4.318
2019,10,2019-07-14,Great Britain,Silverstone,Formula 1 Rolex British Grand Prix 2019,Race,52,306.198,5.891
2019,11,2019-07-28,Germany,Hockenheimring,Formula 1 Mercedes-Benz Grosser Preis von Deutschland 2019,Race,64,292.736,4.574
2019,12,2019-08-04,Hungary,Hungaroring,Formula 1 Rolex Magyar Nagydij 2019,Race,70,306.63,4.381
2019,13,2019-09-01,Belgium,Spa-Francorchamps,Formula 1 Johnnie Walker Belgian Grand Prix 2019,Race,44,308.052,7.004
2019,14,2019-09-08,Italy,Monza,Formula 1 Gran Premio Heineken d'Italia 2019,Race,53,306.72,5.793
2019,15,2019-09-22,Singapore,Marina Bay,Formula 1 Singapore Airlines Singapore Grand Prix 2019,Street,61,308.706,5.063
2019,16,2019-09-29,Russia,Sochi,Formula 1 VTB Russian Grand Prix 2019,Road,53,309.745,5.848
2019,17,2019-10-13,Japan,Suzuka,Formula 1 Japanese Grand Prix 2019,Race,52,301.664,5.807
2019,18,2019-10-27,Mexico,Mexico City,Formula 1 Gran Premio de Mexico 2019,Race,71,305.354,4.304
2019,19,2019-11-03,United States,Austin,Formula 1 Emirates United States Grand Prix 2019,Race,56,308.405,5.513
2019,20,2019-11-17,Brazil,Interlagos,Formula 1 Heineken Grande Premio do Brasil 2019,Race,71,305.909,4.309
2019,21,2019-12-01,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2019,Race,55,305.355,5.554
2020,1,2020-07-05,Austria,Spielberg,Formula 1 Rolex Grosser Preis von Osterreich 2020,Race,71,306.452,4.318
2020,2,2020-07-12,Styria,Spielberg,Formula 1 Pirelli Grosser Preis der Steiermark 2020,Race,71,306.452,4.318
2020,3,2020-07-19,Hungary,Hungaroring,Formula 1 Aramco Magyar Nagydij 2020,Race,70,306.63,4.381
2020,4,2020-08-02,Great Britain,Silverstone,Formula 1 Pirelli British Grand Prix 2020,Race,52,306.198,5.891
2020,5,2020-08-09,70Th Anniversary,Silverstone,Emirates Formula 1 70th Anniversary Grand Prix 2020,Race,52,306.198,5.891
2020,6,2020-08-16,Spain,Catalunya,Formula 1 Aramco Gran Premio de Espana 2020,Race,66,307.104,4.655
2020,7,2020-08-30,Belgium,Spa-Francorchamps,Formula 1 Rolex Belgian Grand Prix 2020,Race,44,308.052,7.004
2020,8,2020-09-06,Italy,Monza,Formula 1 Gran Premio Heineken d'Italia 2020,Race,53,306.72,5.793
2020,9,2020-09-13,Tuscany,Mugello,Formula 1 Gran Premio Della Toscana Ferrari 1000 2020,Race,59,309.455,5.245
2020,10,2020-09-27,Russia,Sochi,Formula 1 VTB Russian Grand Prix 2020,Road,53,309.745,5.848
2020,11,2020-10-11,Eifel,Nurburgring,Formula 1 Aramco Grosser Preis der Eifel 2020,Race,60,308.623,5.148
2020,12,2020-10-25,Portugal,Portimao,Formula 1 Heineken Grande Premio de Portugal 2020,Race,66,308.877,4.684
2020,13,2020-11-01,Emilia-Romagna,Imola,Formula 1 Emirates Gran Premio dell'Emilia Romagna 2020,Race,63,309.05,4.909
2020,14,2020-11-15,Turkey,Istanbul,Formula 1 DHL Turkish Grand Prix 2020,Race,58,309.396,5.338
2020,15,2020-11-29,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2020,Race,57,308.238,5.412
2020,16,2020-12-06,Sakhir,Bahrain,Formula 1 Rolex Sakhir Grand Prix 2020,Race,87,307.995,3.543
2020,17,2020-12-13,Abu Dhabi,Yas Marina,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2020,Race,55,305.355,5.554
2021,1,2021-03-28,Bahrain,Bahrain,Formula 1 Gulf Air Bahrain Grand Prix 2021,Race,57,308.238,5.412
