Season,Round,Date,GrandPrix,Circuit,OfficialName,Type,Laps,Distance,CircuitLength
2000,12,2000-08-13,Hungary,Hungaroring,Marlboro Magyar Nagydij 2000,Race,77,306.075,3.975
2000,13,2000-08-27,Belgium,Spa-Francorchamps,2000 Foster's Belgian Grand Prix,Race,44,306.592,6.968
2000,14,2000-09-10,Italy,Monza,Gran Premio Campari d'Italia 2000,Race,53,306.719,5.793
2000,15,2000-09-24,United States,Indianapolis,2000 SAP United States Grand Prix,Race,73,306.235,4.195
2000,16,2000-10-08,Japan,Suzuka,2000 Fuji Television Japanese Grand Prix,Race,53,310.792,5.864
2000,17,2000-10-22,Malaysia,Sepang,2000 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2001,1,2001-03-04,Australia,Melbourne,2001 Qantas Australian Grand Prix,Street,58,307.574,5.303
2001,2,2001-03-18,Malaysia,Sepang,2001 Petronas Malaysian Grand Prix,Race,55,304.865,5.543
2001,3,2001-04-01,Brazil,Interlagos,Grande Premio Marlboro do Brasil 2001,Race,71,305.909,4.309
2001,4,2001-04-15,San Marino,Imola,Gran Premio Warsteiner di San Marino 2001,Race,62,305.609,4.933
2001,5,2001-04-29,Spain,Catalunya,Gran Premio Marlboro de Espana 2001,Race,65,307.324,4.73
2001,6,2001-05-13,Austria,Spielberg,Grosser A1 Preis von Osterreich 2001,Race,71,307.146,4.326
2001,7,2001-05-27,Monaco,Monaco,Grand Prix de Monaco 2001,Street,78,262.86,3.37
2001,8,2001-06-10,Canada,Montreal,Grand Prix Air Canada 2001,Street,69,305.049,4.421
2001,9,2001-06-24,Europe,Nurburgring,2001 Warsteiner Grand Prix of Europe,Race,67,305.252,4.556
2001,10,2001-07-01,France,Magny-Cours,Mobil 1 Grand Prix de France 2001,Race,72,305.886,4.251
2001,11,2001-07-15,Great Britain,Silverstone,2001 Foster's British Grand Prix,Race,60,308.355,5.141
2001,12,2001-07-29,Germany,Hockenheimring,Grosser Mobil 1 Preis von Deutschland 2001,Race,45,307.035,6.823
2001,13,2001-08-19,Hungary,Hungaroring,Marlboro Magyar Nagydij 2001,Race,77,306.075,3.975
2001,14,2001-09-02,Belgium,Spa-Francorchamps,2001 Foster's Belgian Grand Prix,Race,36,250.848,6.968
2001,15,2001-09-16,Italy,Monza,Gran Premio Campari d'Italia 2001,Race,53,306.719,5.793
2001,16,2001-09-30,United States,Indianapolis,2001 SAP United States Grand Prix,Race,73,306.235,4.195
2001,17,2001-10-14,Japan,Suzuka,2001 Fuji Television Japanese Grand Prix,Race,53,310.527,5.859
2002,1,2002-03-03,Australia,Melbourne,2002 Foster's Australian Grand Prix,Street,58,307.574,5.303
2002,2,2002-03-17,Malaysia,Sepang,2002 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2002,3,2002-03-31,Brazil,Interlagos,Grande Premio do Brasil 2002,Race,71,305.909,4.309
2002,4,2002-04-14,San Marino,Imola,Gran Premio di San Marino 2002,Race,62,305.609,4.933
2002,5,2002-04-28,Spain,Catalunya,Gran Premio Marlboro de Espana 2002,Race,65,307.324,4.73
2002,6,2002-05-12,Austria,Spielberg,Grosser A1 Preis von Osterreich 2002,Race,71,307.146,4.326
2002,7,2002-05-26,Monaco,Monaco,Grand Prix de Monaco 2002,Street,78,262.86,3.37
2002,8,2002-06-09,Canada,Montreal,Grand Prix Air Canada 2002,Street,70,305.27,4.361
2002,9,2002-06-23,Europe,Nurburgring,2002 Allianz Grand Prix of Europe,Race,60,308.88,5.148
2002,10,2002-07-07,Great Britain,Silverstone,2002 Foster's British Grand Prix,Race,60,308.355,5.141
2002,11,2002-07-21,France,Magny-Cours,Mobil 1 Grand Prix de France 2002,Race,72,305.886,4.251
2002,12,2002-07-28,Germany,Hockenheimring,Grosser Mobil 1 Preis von Deutschland 2002,Race,67,306.458,4.574
2002,13,2002-08-18,Hungary,Hungaroring,Marlboro Magyar Nagydij 2002,Race,77,306.075,3.975
2002,14,2002-09-01,Belgium,Spa-Francorchamps,2002 Foster's Belgian Grand Prix,Race,44,306.592,6.968
2002,15,2002-09-15,Italy,Monza,Gran Premio Vodafone d'Italia 2002,Race,53,306.719,5.793
2002,16,2002-09-29,United States,Indianapolis,2002 SAP United States Grand Prix,Race,73,306.235,4.195
2002,17,2002-10-13,Japan,Suzuka,2002 Fuji Television Japanese Grand Prix,Race,53,308.513,5.821
2003,1,2003-03-09,Australia,Melbourne,2003 Foster's Australian Grand Prix,Street,58,307.574,5.303
2003,2,2003-03-23,Malaysia,Sepang,2003 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2003,3,2003-04-06,Brazil,Interlagos,Grande Premio do Brasil 2003,Race,54,232.656,4.309
2003,4,2003-04-20,San Marino,Imola,Gran Premio Foster's di San Marino 2003,Race,62,305.609,4.933
2003,5,2003-05-04,Spain,Catalunya,Gran Premio Marlboro de Espana 2003,Race,65,307.324,4.73
2003,6,2003-05-18,Austria,Spielberg,A1 Grand Prix von Osterreich 2003,Race,69,298.494,4.326
2003,7,2003-06-01,Monaco,Monaco,Grand Prix de Monaco 2003,Street,78,260.52,3.34
2003,8,2003-06-15,Canada,Montreal,Grand Prix Air Canada 2003,Street,70,305.27,4.361
2003,9,2003-06-29,Europe,Nurburgring,2003 Allianz Grand Prix of Europe,Race,60,308.88,5.148
2003,10,2003-07-06,France,Magny-Cours,Mobil 1 Grand Prix de France 2003,Race,70,308.586,4.411
2003,11,2003-07-20,Great Britain,Silverstone,2003 Foster's British Grand Prix,Race,60,308.355,5.141
2003,12,2003-08-03,Germany,Hockenheimring,Grosser Mobil 1 Preis von Deutschland 2003,Race,67,306.458,4.574
2003,13,2003-08-24,Hungary,Hungaroring,Marlboro Magyar Nagydij 2003,Race,70,306.663,4.381
2003,14,2003-09-14,Italy,Monza,Gran Premio Vodafone d'Italia 2003,Race,53,306.719,5.793
2003,15,2003-09-28,United States,Indianapolis,2003 SAP United States Grand Prix,Race,73,306.235,4.195
2003,16,2003-10-12,Japan,Suzuka,2003 Fuji Television Japanese Grand Prix,Race,53,307.573,5.807
2004,1,2004-03-07,Australia,Melbourne,2004 Foster's Australian Grand Prix,Street,58,307.574,5.303
2004,2,2004-03-21,Malaysia,Sepang,2004 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2004,3,2004-04-04,Bahrain,Bahrain,2004 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2004,4,2004-04-25,San Marino,Imola,Gran Premio Foster's di San Marino 2004,Race,62,305.609,4.933
2004,5,2004-05-09,Spain,Catalunya,Formula 1 Gran Premio Marlboro de Espana 2004,Race,66,305.256,4.627
2004,6,2004-05-23,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2004,Street,77,257.18,3.34
2004,7,2004-05-30,Europe,Nurburgring,2004 Formula 1 Allianz Grand Prix of Europe,Race,60,308.88,5.148
2004,8,2004-06-13,Canada,Montreal,Formula 1 Grand Prix du Canada 2004,Street,70,305.27,4.361
2004,9,2004-06-20,United States,Indianapolis,2004 Formula 1 United States Grand Prix,Race,73,306.235,4.195
2004,10,2004-07-04,France,Magny-Cours,Formula 1 Mobil 1 Grand Prix de France 2004,Race,70,308.586,4.411
2004,11,2004-07-11,Great Britain,Silverstone,2004 Formula 1 Foster's British Grand Prix,Race,60,308.355,5.141
2004,12,2004-07-25,Germany,Hockenheimring,Formula 1 Grosser Mobil 1 Preis von Deutschland 2004,Race,66,301.884,4.574
2004,13,2004-08-15,Hungary,Hungaroring,Formula 1 Marlboro Magyar Nagydij 2004,Race,70,306.663,4.381
2004,14,2004-08-29,Belgium,Spa-Francorchamps,2004 Formula 1 Belgian Grand Prix,Race,44,306.927,6.976
2004,15,2004-09-12,Italy,Monza,Formula 1 Gran Premio Vodafone d'Italia 2004,Race,53,306.72,5.793
2004,16,2004-09-26,China,Shanghai,2004 Formula 1 Sinopec Chinese Grand Prix,Race,56,305.066,5.451
2004,17,2004-10-10,Japan,Suzuka,2004 Formula 1 Fuji Television Japanese Grand Prix,Race,53,307.573,5.807
2004,18,2004-10-24,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2004,Race,71,305.909,4.309
2005,1,2005-03-06,Australia,Melbourne,2005 Formula 1 Foster's Australian Grand Prix,Street,57,302.271,5.303
2005,2,2005-03-20,Malaysia,Sepang,2005 Formula 1 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2005,3,2005-04-03,Bahrain,Bahrain,2005 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2005,4,2005-04-24,San Marino,Imola,Formula 1 Gran Premio Foster's di San Marino 2005,Race,62,305.609,4.933
2005,5,2005-05-08,Spain,Catalunya,Formula 1 Gran Premio Marlboro de Espana 2005,Race,66,305.256,4.627
2005,6,2005-05-22,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2005,Street,78,260.52,3.34
2005,7,2005-05-29,Europe,Nurburgring,2005 Formula 1 Grand Prix of Europe,Race,59,303.732,5.148
2005,8,2005-06-12,Canada,Montreal,Formula 1 Grand Prix du Canada 2005,Street,70,305.27,4.361
2005,9,2005-06-19,United States,Indianapolis,2005 Foster's United States Grand Prix,Race,73,306.016,4.192
2005,10,2005-07-03,France,Magny-Cours,Formula 1 Grand Prix de France 2005,Race,70,308.586,4.411
2005,11,2005-07-10,Great Britain,Silverstone,2005 Formula 1 Foster's British Grand Prix,Race,60,308.355,5.141
2005,12,2005-07-24,Germany,Hockenheimring,Formula 1 Grosser Mobil 1 Preis von Deutschland 2005,Race,67,306.458,4.574
2005,13,2005-07-31,Hungary,Hungaroring,Formula 1 Marlboro Magyar Nagydij 2005,Race,70,306.663,4.381
2005,14,2005-08-21,Turkey,Istanbul,2005 Formula 1 Turkish Grand Prix,Race,58,309.396,5.338
2005,15,2005-09-04,Italy,Monza,Formula 1 Gran Premio Vodafone d'Italia 2005,Race,53,306.72,5.793
2005,16,2005-09-11,Belgium,Spa-Francorchamps,2005 Formula 1 Belgian Grand Prix,Race,44,306.927,6.976
2005,17,2005-09-25,Brazil,Interlagos,Formula 1 Grande Premio do Brasil 2005,Race,71,305.909,4.309
2005,18,2005-10-09,Japan,Suzuka,2005 Formula 1 Fuji Television Japanese Grand Prix,Race,53,307.573,5.807
2005,19,2005-10-16,China,Shanghai,2005 Formula 1 Sinopec Chinese Grand Prix,Race,56,305.066,5.451
2006,1,2006-03-12,Bahrain,Bahrain,2006 Formula 1 Gulf Air Bahrain Grand Prix,Race,57,308.238,5.412
2006,2,2006-03-19,Malaysia,Sepang,2006 Formula 1 Petronas Malaysian Grand Prix,Race,56,310.408,5.543
2006,3,2006-04-02,Australia,Melbourne,2006 Formula 1 Foster's Australian Grand Prix,Street,57,302.271,5.303
2006,4,2006-04-23,San Marino,Imola,Formula 1 Gran Premio Foster's di San Marino 2006,Race,62,305.609,4.933
2006,5,2006-05-07,Europe,Nurburgring,2006 Formula 1 Grand Prix of Europe,Race,60,308.88,5.148
2006,6,2006-05-14,Spain,Catalunya,Formula 1 Gran Premio Telefonica de Espana 2006,Race,66,305.256,4.627
2006,7,2006-05-28,Monaco,Monaco,Formula 1 Grand Prix de Monaco 2006,Street,78,260.52,3.34
2006,8,2006-06-11,Great Britain,Silverstone,2006 Formula 1 Foster's British Grand Prix,Race,60,308.355,5.141
2006,9,2006-06-25,Canada,Montreal,Formula 1 Grand Prix du Canada 2006,Street,70,305.27,4.361
2006,10,2006-07-02,United States,Indianapolis,2006 United States Grand Prix,Race,73,306.016,4.192
2006,11,2006-07-16,France,Magny-Cours,Formula 1 Grand Prix de France 2006,Race,70,308.586,4.411
2006,12,2006-07-30,Germany,Hockenheimring,Formula 1 Grosser Mobil 1 Preis von Deutschland 2006,Race,67,306.458,4.574
